feature,feature_type,train_target_spearman,target_correlation_direction,n_unique,missing_rate
pair_CORL_MNDO,numeric,0.025332130324842255,mixed_or_flat,2,0.0
pair_CORL_NABO,numeric,0.03631681741147251,mixed_or_flat,2,0.0
pair_CORL_POBK,numeric,0.06331919579836576,positive,2,0.0
pair_CORL_REBL,numeric,-0.00926210773708228,mixed_or_flat,2,0.0
pair_CORL_SITH,numeric,0.028408464658824305,mixed_or_flat,2,0.0
pair_CORL_TECH,numeric,0.03903130544784107,mixed_or_flat,2,0.0
pair_CORL_WOOK,numeric,0.03333634399868683,mixed_or_flat,2,0.0
pair_DRC_HTTX,numeric,0.09141422130309837,positive,2,0.0
pair_DRC_JEDI,numeric,0.02317990350296821,mixed_or_flat,2,0.0
pair_DRC_KYBR,numeric,0.011926651526646913,mixed_or_flat,2,0.0
pair_DRC_MNDO,numeric,0.027993041275366226,mixed_or_flat,2,0.0
pair_DRC_NABO,numeric,0.013531883139323405,mixed_or_flat,2,0.0
pair_DRC_POBK,numeric,0.046651033849550765,mixed_or_flat,2,0.0
pair_DRC_REBL,numeric,-0.009935391530075702,mixed_or_flat,2,0.0
pair_DRC_SITH,numeric,0.031864029531286885,mixed_or_flat,2,0.0
pair_DRC_TECH,numeric,0.018332488428261608,mixed_or_flat,2,0.0
pair_DRC_WOOK,numeric,0.03220368136591939,mixed_or_flat,2,0.0
pair_HTTX_JEDI,numeric,0.09935499540083516,positive,2,0.0
pair_HTTX_KYBR,numeric,0.0840993114062314,positive,2,0.0
pair_HTTX_MNDO,numeric,0.08572316445759838,positive,2,0.0
pair_HTTX_NABO,numeric,0.09160997352756214,positive,2,0.0
pair_HTTX_POBK,numeric,0.10200815005356413,positive,2,0.0
pair_HTTX_REBL,numeric,0.08853537735985836,positive,2,0.0
pair_HTTX_SITH,numeric,0.08436247943902346,positive,2,0.0
pair_HTTX_TECH,numeric,0.11162292923208539,positive,2,0.0
pair_HTTX_WOOK,numeric,0.09981849574426037,positive,2,0.0
pair_JEDI_KYBR,numeric,0.03276440173091383,mixed_or_flat,2,0.0
pair_JEDI_MNDO,numeric,0.025336486345962212,mixed_or_flat,2,0.0
pair_JEDI_NABO,numeric,0.01722440477004849,mixed_or_flat,2,0.0
pair_JEDI_POBK,numeric,0.03882632516637008,mixed_or_flat,2,0.0
pair_JEDI_REBL,numeric,-0.022436787943740644,mixed_or_flat,2,0.0
pair_JEDI_SITH,numeric,0.04780133977499858,mixed_or_flat,2,0.0
pair_JEDI_TECH,numeric,0.032203341543482464,mixed_or_flat,2,0.0
pair_JEDI_WOOK,numeric,0.014349754053760325,mixed_or_flat,2,0.0
pair_KYBR_MNDO,numeric,0.031863539811261055,mixed_or_flat,2,0.0
pair_KYBR_NABO,numeric,0.03386974295318153,mixed_or_flat,2,0.0
pair_KYBR_POBK,numeric,0.025317973713854306,mixed_or_flat,2,0.0
pair_KYBR_REBL,numeric,-0.03849535007521439,mixed_or_flat,2,0.0
pair_KYBR_SITH,numeric,0.028835066077507056,mixed_or_flat,2,0.0
pair_KYBR_TECH,numeric,0.0012366403776266205,mixed_or_flat,2,0.0
pair_KYBR_WOOK,numeric,0.028407582450158973,mixed_or_flat,2,0.0
pair_MNDO_NABO,numeric,0.028544597826295835,mixed_or_flat,2,0.0
pair_MNDO_POBK,numeric,0.029710535517200497,mixed_or_flat,2,0.0
pair_MNDO_REBL,numeric,-0.016010829568117484,mixed_or_flat,2,0.0
pair_MNDO_SITH,numeric,0.005945974062468736,mixed_or_flat,2,0.0
pair_MNDO_TECH,numeric,0.038836745487125304,mixed_or_flat,2,0.0
pair_MNDO_WOOK,numeric,0.03788484941243244,mixed_or_flat,2,0.0
pair_NABO_POBK,numeric,0.03387688476213117,mixed_or_flat,2,0.0
pair_NABO_REBL,numeric,-0.04309104634183262,mixed_or_flat,2,0.0
pair_NABO_SITH,numeric,0.027156528423293975,mixed_or_flat,2,0.0
pair_NABO_TECH,numeric,0.02128752158769258,mixed_or_flat,2,0.0
pair_NABO_WOOK,numeric,0.02675049570789918,mixed_or_flat,2,0.0
pair_POBK_REBL,numeric,-0.010949300468635207,mixed_or_flat,2,0.0
pair_POBK_SITH,numeric,0.029946310088551056,mixed_or_flat,2,0.0
pair_POBK_TECH,numeric,0.04363083775602709,mixed_or_flat,2,0.0
pair_POBK_WOOK,numeric,0.039480801488996055,mixed_or_flat,2,0.0
pair_REBL_SITH,numeric,-0.004066704494936021,mixed_or_flat,2,0.0
pair_REBL_TECH,numeric,-0.02954434352298033,mixed_or_flat,2,0.0
pair_REBL_WOOK,numeric,-0.01227575118686526,mixed_or_flat,2,0.0
pair_SITH_TECH,numeric,0.03786001468391872,mixed_or_flat,2,0.0
pair_SITH_WOOK,numeric,0.016941204957833574,mixed_or_flat,2,0.0
pair_TECH_WOOK,numeric,0.021153103243106573,mixed_or_flat,2,0.0
basket_complexity_score,numeric,0.3478702927151414,positive,3,0.0
worst_of_pressure,numeric,0.4397996264065585,positive,2182,0.0
worst_of_vol_pressure,numeric,0.4000231835730699,positive,25,0.0
structural_base_vol_mean,numeric,-0.04933973884627687,mixed_or_flat,164,0.0
structural_base_vol_min,numeric,-0.24022877452771776,negative,14,0.0
structural_base_vol_max,numeric,0.09114826017089342,positive,14,0.0
structural_base_vol_second_highest,numeric,0.13993003587953112,positive,13,0.33667105841018885
structural_base_vol_range,numeric,0.3717741350426854,positive,63,0.0
structural_base_vol_top2_spread,numeric,0.35455046602379753,positive,63,0.0
structural_vol_dispersion_ratio,numeric,0.3365931611047551,positive,449,0.0
sector_count,numeric,0.3478702927151414,positive,3,0.0
sector_concentration,numeric,-0.3478702927151414,negative,3,0.0
has_multiple_sectors,numeric,0.34854632222557347,positive,2,0.0
realized_vol_63d_second_highest,numeric,0.09944830867035774,positive,6325,0.33667105841018885
realized_vol_63d_top2_spread,numeric,0.3399795864514136,positive,7388,0.0
worst_of_structural_base_vol_range,numeric,0.3717741350426854,positive,63,0.0
worst_of_structural_vol_top2_spread,numeric,0.35455046602379753,positive,63,0.0
worst_of_realized_vol_63d_range,numeric,0.35404890541902306,positive,7382,0.0
worst_of_realized_vol_top2_spread,numeric,0.3399795864514136,positive,7388,0.0
quoted_implied_vol,numeric,-0.05016411345359974,negative,3512,0.0
realized_vol_63d_mean,numeric,-0.11777292430998346,negative,11013,0.0
realized_vol_63d_min,numeric,-0.27334773196545986,negative,8828,0.0
realized_vol_63d_max,numeric,-0.011114583180014568,mixed_or_flat,8850,0.0
realized_vol_63d_range,numeric,0.35404890541902306,positive,7382,0.0
basket_realized_vol_21d_mean,numeric,-0.11476420398286878,negative,11013,0.0
basket_realized_vol_21d_max,numeric,-0.006300187942684984,mixed_or_flat,8841,0.0
basket_realized_vol_126d_mean,numeric,-0.11900921925859072,negative,11013,0.0
basket_realized_vol_126d_max,numeric,-0.0028378130346995503,mixed_or_flat,8856,0.0
basket_realized_vol_trend_mean,numeric,-0.01008949623474915,mixed_or_flat,11013,0.0
basket_realized_vol_trend_max,numeric,0.05029275998380194,positive,8828,0.0
basket_realized_vol_zscore_mean,numeric,-0.02234029497543058,mixed_or_flat,11013,0.0
basket_realized_vol_zscore_max,numeric,0.037022327696853465,mixed_or_flat,8864,0.0
basket_realized_vol_change_21d_mean,numeric,-0.021181490673950684,mixed_or_flat,11013,0.0
basket_realized_vol_change_21d_max,numeric,0.04781629369822695,mixed_or_flat,8846,0.0
realized_to_structural_vol_ratio,numeric,-0.06044107110183174,negative,11013,0.0
realized_vol_dispersion_ratio,numeric,0.3371253362690235,positive,7463,0.0
observation_frequency_clean,categorical,,categorical_not_ordered,6,0.0
product_type,categorical,,categorical_not_ordered,6,0.0
basket_type,categorical,,categorical_not_ordered,2,0.0
nominal_maturity_bucket,categorical,,categorical_not_ordered,4,0.0
basket_signature,categorical,,categorical_not_ordered,462,0.0
primary_underlying,categorical,,categorical_not_ordered,15,0.0
dominant_sector,categorical,,categorical_not_ordered,14,0.0
highest_vol_sector,categorical,,categorical_not_ordered,14,0.0
highest_structural_vol_underlying,categorical,,categorical_not_ordered,14,0.0
second_highest_structural_vol_underlying,categorical,,categorical_not_ordered,14,0.0
lowest_structural_vol_underlying,categorical,,categorical_not_ordered,14,0.0
highest_realized_vol_underlying,categorical,,categorical_not_ordered,14,0.0
second_highest_realized_vol_underlying,categorical,,categorical_not_ordered,15,0.0
lowest_realized_vol_underlying,categorical,,categorical_not_ordered,14,0.0
