model_name,feature,category,mean,count
xgboost_ordinal__all_without_commercial,primary_underlying,NABO,0.024904966,24
xgboost_ordinal__all_without_commercial,primary_underlying,CORL,-0.4130672,21
xgboost_ordinal__all_without_commercial,primary_underlying,KYBR,0.21679088,20
xgboost_ordinal__all_without_commercial,primary_underlying,MNDO,-0.09165618,19
xgboost_ordinal__all_without_commercial,primary_underlying,DRC,-0.32189047,19
xgboost_ordinal__all_without_commercial,primary_underlying,TECH,-0.020222573,18
xgboost_ordinal__all_without_commercial,primary_underlying,JEDI,0.18698604,14
xgboost_ordinal__all_without_commercial,dominant_sector,Agricultura y biotecnologia,0.105091535,130
xgboost_ordinal__all_without_commercial,dominant_sector,Comercio y materias primas,0.07467677,130
xgboost_ordinal__all_without_commercial,dominant_sector,Energia e infraestructuras,0.046462074,93
xgboost_ordinal__all_without_commercial,dominant_sector,Consumo y distribucion,-0.053253956,91
xgboost_ordinal__all_without_commercial,dominant_sector,Defensa y armamento,-0.04892074,89
xgboost_ordinal__all_without_commercial,dominant_sector,Manufactura,0.091846906,79
xgboost_ordinal__all_without_commercial,dominant_sector,Logistica y transporte,0.033666577,71
xgboost_ordinal__all_without_commercial,dominant_sector,Gestion patrimonial,0.05534225,67
xgboost_ordinal__all_without_commercial,dominant_sector,Metales y aleaciones,0.004975639,62
xgboost_ordinal__all_without_commercial,dominant_sector,Ocio y entretenimiento,-0.09721078,53
xgboost_ordinal__all_without_commercial,dominant_sector,Mineria de materiales estrategicos,-0.06985434,50
xgboost_ordinal__all_without_commercial,dominant_sector,Renta fija especulativa,-0.16766773,41
xgboost_ordinal__all_without_commercial,dominant_sector,Servicios y personal,-0.068211034,26
xgboost_ordinal__all_without_commercial,dominant_sector,Tecnologia y automatizacion,-0.11053011,18
xgboost_ordinal__all_without_commercial,highest_vol_sector,Comercio y materias primas,2.1354969,140
xgboost_ordinal__all_without_commercial,highest_vol_sector,Ocio y entretenimiento,-0.15657032,118
xgboost_ordinal__all_without_commercial,highest_vol_sector,Defensa y armamento,-0.19758709,100
xgboost_ordinal__all_without_commercial,highest_vol_sector,Tecnologia y automatizacion,-0.68180496,96
xgboost_ordinal__all_without_commercial,highest_vol_sector,Metales y aleaciones,-0.21807538,89
xgboost_ordinal__all_without_commercial,highest_vol_sector,Consumo y distribucion,-0.17980349,84
xgboost_ordinal__all_without_commercial,highest_vol_sector,Manufactura,-0.18100168,76
xgboost_ordinal__all_without_commercial,highest_vol_sector,Logistica y transporte,-0.15582095,76
xgboost_ordinal__all_without_commercial,highest_vol_sector,Energia e infraestructuras,-0.19461425,57
xgboost_ordinal__all_without_commercial,highest_vol_sector,Mineria de materiales estrategicos,-0.12997188,51
xgboost_ordinal__all_without_commercial,highest_vol_sector,Renta fija especulativa,-0.6449533,41
xgboost_ordinal__all_without_commercial,highest_vol_sector,Servicios y personal,-0.5846832,32
xgboost_ordinal__all_without_commercial,highest_vol_sector,Agricultura y biotecnologia,3.038696,24
xgboost_ordinal__all_without_commercial,highest_vol_sector,Gestion patrimonial,-0.18389316,16
xgboost_ordinal__all_without_commercial,highest_structural_vol_underlying,HTTX,0.0019391932,140
xgboost_ordinal__all_without_commercial,highest_structural_vol_underlying,POBK,-0.010107156,118
xgboost_ordinal__all_without_commercial,highest_structural_vol_underlying,MNDO,-0.01897126,100
xgboost_ordinal__all_without_commercial,highest_structural_vol_underlying,TECH,-0.009879141,96
xgboost_ordinal__all_without_commercial,highest_structural_vol_underlying,BSKR,0.013326331,89
xgboost_ordinal__all_without_commercial,highest_structural_vol_underlying,DRC,-0.0012970647,84
xgboost_ordinal__all_without_commercial,highest_structural_vol_underlying,CORL,0.011024307,76
xgboost_ordinal__all_without_commercial,highest_structural_vol_underlying,WOOK,-0.014935087,76
xgboost_ordinal__all_without_commercial,highest_structural_vol_underlying,SITH,-0.014443782,57
xgboost_ordinal__all_without_commercial,highest_structural_vol_underlying,KYBR,-0.008472645,51
xgboost_ordinal__all_without_commercial,highest_structural_vol_underlying,REBL,-0.018918246,41
xgboost_ordinal__all_without_commercial,highest_structural_vol_underlying,CLNE,0.015737552,32
xgboost_ordinal__all_without_commercial,highest_structural_vol_underlying,NABO,0.0054028365,24
xgboost_ordinal__all_without_commercial,highest_structural_vol_underlying,JEDI,0.0029223338,16
xgboost_ordinal__all_without_commercial,second_highest_structural_vol_underlying,UNKNOWN,-0.043166995,324
xgboost_ordinal__all_without_commercial,second_highest_structural_vol_underlying,REBL,-0.048564296,83
xgboost_ordinal__all_without_commercial,second_highest_structural_vol_underlying,CLNE,0.0867159,75
xgboost_ordinal__all_without_commercial,second_highest_structural_vol_underlying,SITH,-0.04283823,74
xgboost_ordinal__all_without_commercial,second_highest_structural_vol_underlying,NABO,-0.03807855,73
xgboost_ordinal__all_without_commercial,second_highest_structural_vol_underlying,JEDI,0.077144325,68
xgboost_ordinal__all_without_commercial,second_highest_structural_vol_underlying,KYBR,0.047140058,66
xgboost_ordinal__all_without_commercial,second_highest_structural_vol_underlying,WOOK,-0.037918273,55
xgboost_ordinal__all_without_commercial,second_highest_structural_vol_underlying,CORL,0.08907876,46
xgboost_ordinal__all_without_commercial,second_highest_structural_vol_underlying,BSKR,0.08652409,44
xgboost_ordinal__all_without_commercial,second_highest_structural_vol_underlying,TECH,-0.055587783,33
xgboost_ordinal__all_without_commercial,second_highest_structural_vol_underlying,DRC,0.089565076,26
xgboost_ordinal__all_without_commercial,second_highest_structural_vol_underlying,MNDO,0.033809736,21
xgboost_ordinal__all_without_commercial,second_highest_structural_vol_underlying,POBK,-0.057114493,12
xgboost_ordinal__all_without_commercial,lowest_structural_vol_underlying,NABO,-0.03279673,130
xgboost_ordinal__all_without_commercial,lowest_structural_vol_underlying,REBL,-0.029212993,124
xgboost_ordinal__all_without_commercial,lowest_structural_vol_underlying,CLNE,0.03575282,112
xgboost_ordinal__all_without_commercial,lowest_structural_vol_underlying,JEDI,0.035095945,101
xgboost_ordinal__all_without_commercial,lowest_structural_vol_underlying,SITH,-0.023097996,86
xgboost_ordinal__all_without_commercial,lowest_structural_vol_underlying,KYBR,0.015772028,85
xgboost_ordinal__all_without_commercial,lowest_structural_vol_underlying,WOOK,-0.004366506,71
xgboost_ordinal__all_without_commercial,lowest_structural_vol_underlying,BSKR,0.022721276,63
xgboost_ordinal__all_without_commercial,lowest_structural_vol_underlying,CORL,0.03851063,58
xgboost_ordinal__all_without_commercial,lowest_structural_vol_underlying,TECH,-0.012773412,43
xgboost_ordinal__all_without_commercial,lowest_structural_vol_underlying,DRC,0.024794677,40
xgboost_ordinal__all_without_commercial,lowest_structural_vol_underlying,POBK,-0.023887523,33
xgboost_ordinal__all_without_commercial,lowest_structural_vol_underlying,MNDO,-0.035125554,30
xgboost_ordinal__all_without_commercial,lowest_structural_vol_underlying,HTTX,0.033756454,24
xgboost_ordinal__all_without_commercial,highest_realized_vol_underlying,HTTX,0.16431506,132
xgboost_ordinal__all_without_commercial,highest_realized_vol_underlying,REBL,-0.23060377,125
xgboost_ordinal__all_without_commercial,highest_realized_vol_underlying,POBK,-0.008525977,108
xgboost_ordinal__all_without_commercial,highest_realized_vol_underlying,MNDO,-0.0035233144,89
xgboost_ordinal__all_without_commercial,highest_realized_vol_underlying,TECH,-0.17794503,80
xgboost_ordinal__all_without_commercial,highest_realized_vol_underlying,WOOK,-0.16930906,79
xgboost_ordinal__all_without_commercial,highest_realized_vol_underlying,CORL,0.12272462,73
xgboost_ordinal__all_without_commercial,highest_realized_vol_underlying,DRC,0.12544055,71
xgboost_ordinal__all_without_commercial,highest_realized_vol_underlying,BSKR,0.13113534,70
xgboost_ordinal__all_without_commercial,highest_realized_vol_underlying,SITH,-0.16153881,53
xgboost_ordinal__all_without_commercial,highest_realized_vol_underlying,KYBR,0.094165094,47
xgboost_ordinal__all_without_commercial,highest_realized_vol_underlying,CLNE,0.105693616,32
xgboost_ordinal__all_without_commercial,highest_realized_vol_underlying,NABO,-0.021035163,24
xgboost_ordinal__all_without_commercial,highest_realized_vol_underlying,JEDI,0.09834304,17
xgboost_ordinal__all_without_commercial,second_highest_realized_vol_underlying,UNKNOWN,-0.021916548,324
xgboost_ordinal__all_without_commercial,second_highest_realized_vol_underlying,CLNE,0.013639475,75
xgboost_ordinal__all_without_commercial,second_highest_realized_vol_underlying,SITH,-0.008219968,74
xgboost_ordinal__all_without_commercial,second_highest_realized_vol_underlying,NABO,-0.0053007957,73
xgboost_ordinal__all_without_commercial,second_highest_realized_vol_underlying,JEDI,0.009461374,67
xgboost_ordinal__all_without_commercial,second_highest_realized_vol_underlying,KYBR,-0.002512016,65
xgboost_ordinal__all_without_commercial,second_highest_realized_vol_underlying,BSKR,0.015051071,59
xgboost_ordinal__all_without_commercial,second_highest_realized_vol_underlying,CORL,0.014185594,49
xgboost_ordinal__all_without_commercial,second_highest_realized_vol_underlying,WOOK,0.060522962,48
xgboost_ordinal__all_without_commercial,second_highest_realized_vol_underlying,TECH,-0.009944061,47
xgboost_ordinal__all_without_commercial,second_highest_realized_vol_underlying,DRC,0.014731395,38
xgboost_ordinal__all_without_commercial,second_highest_realized_vol_underlying,MNDO,0.004381656,30
xgboost_ordinal__all_without_commercial,second_highest_realized_vol_underlying,REBL,0.0024417492,23
xgboost_ordinal__all_without_commercial,second_highest_realized_vol_underlying,POBK,0.0010657359,20
xgboost_ordinal__all_without_commercial,second_highest_realized_vol_underlying,HTTX,0.018804457,8
xgboost_ordinal__all_without_commercial,lowest_realized_vol_underlying,NABO,-0.009038627,130
xgboost_ordinal__all_without_commercial,lowest_realized_vol_underlying,CLNE,0.012777067,112
xgboost_ordinal__all_without_commercial,lowest_realized_vol_underlying,JEDI,0.016568063,100
xgboost_ordinal__all_without_commercial,lowest_realized_vol_underlying,KYBR,0.0094338795,94
xgboost_ordinal__all_without_commercial,lowest_realized_vol_underlying,SITH,-0.017025394,94
xgboost_ordinal__all_without_commercial,lowest_realized_vol_underlying,BSKR,0.0098509025,81
xgboost_ordinal__all_without_commercial,lowest_realized_vol_underlying,WOOK,0.0005704333,75
xgboost_ordinal__all_without_commercial,lowest_realized_vol_underlying,CORL,0.018655237,60
xgboost_ordinal__all_without_commercial,lowest_realized_vol_underlying,TECH,-0.0097014755,52
xgboost_ordinal__all_without_commercial,lowest_realized_vol_underlying,REBL,-0.0036492518,51
xgboost_ordinal__all_without_commercial,lowest_realized_vol_underlying,DRC,0.0036756867,45
xgboost_ordinal__all_without_commercial,lowest_realized_vol_underlying,POBK,-0.0061392053,40
xgboost_ordinal__all_without_commercial,lowest_realized_vol_underlying,MNDO,-0.004505389,38
xgboost_ordinal__all_without_commercial,lowest_realized_vol_underlying,HTTX,0.0011564245,28
