split,category,count,feature,observation_level
train,TRD-015,239,trader_id,rfq
train,TRD-016,272,trader_id,rfq
train,TRD-017,233,trader_id,rfq
train,TRD-018,255,trader_id,rfq
train,TRD-019,229,trader_id,rfq
train,TRD-020,276,trader_id,rfq
train,TRD-021,261,trader_id,rfq
train,TRD-022,271,trader_id,rfq
train,TRD-023,274,trader_id,rfq
train,TRD-024,251,trader_id,rfq
train,TRD-025,226,trader_id,rfq
train,TRD-026,236,trader_id,rfq
train,TRD-027,242,trader_id,rfq
train,TRD-028,281,trader_id,rfq
train,TRD-029,246,trader_id,rfq
train,TRD-030,232,trader_id,rfq
train,TRD-031,278,trader_id,rfq
train,TRD-032,285,trader_id,rfq
train,TRD-033,217,trader_id,rfq
train,TRD-034,222,trader_id,rfq
train,TRD-035,256,trader_id,rfq
train,TRD-036,235,trader_id,rfq
train,TRD-037,257,trader_id,rfq
train,TRD-038,257,trader_id,rfq
train,TRD-039,249,trader_id,rfq
validation,TRD-001,46,trader_id,rfq
validation,TRD-002,31,trader_id,rfq
validation,TRD-003,28,trader_id,rfq
validation,TRD-004,35,trader_id,rfq
validation,TRD-005,45,trader_id,rfq
validation,TRD-006,44,trader_id,rfq
validation,TRD-007,35,trader_id,rfq
validation,TRD-008,38,trader_id,rfq
validation,TRD-009,37,trader_id,rfq
validation,TRD-010,36,trader_id,rfq
validation,TRD-011,40,trader_id,rfq
validation,TRD-012,36,trader_id,rfq
validation,TRD-013,42,trader_id,rfq
validation,TRD-014,41,trader_id,rfq
validation,TRD-015,35,trader_id,rfq
validation,TRD-016,25,trader_id,rfq
validation,TRD-017,41,trader_id,rfq
validation,TRD-018,50,trader_id,rfq
validation,TRD-019,45,trader_id,rfq
validation,TRD-020,51,trader_id,rfq
validation,TRD-021,36,trader_id,rfq
validation,TRD-022,46,trader_id,rfq
validation,TRD-023,44,trader_id,rfq
validation,TRD-024,46,trader_id,rfq
validation,TRD-025,40,trader_id,rfq
validation,TRD-026,42,trader_id,rfq
validation,TRD-027,27,trader_id,rfq
validation,TRD-028,35,trader_id,rfq
validation,TRD-029,47,trader_id,rfq
validation,TRD-030,50,trader_id,rfq
validation,TRD-031,41,trader_id,rfq
validation,TRD-032,42,trader_id,rfq
validation,TRD-033,36,trader_id,rfq
validation,TRD-034,42,trader_id,rfq
validation,TRD-035,41,trader_id,rfq
validation,TRD-036,46,trader_id,rfq
validation,TRD-037,43,trader_id,rfq
validation,TRD-038,47,trader_id,rfq
validation,TRD-039,46,trader_id,rfq
train,BSKR,219,underlyings,rfq
train,BSKR|CLNE,29,underlyings,rfq
train,BSKR|CLNE|CORL,1,underlyings,rfq
train,BSKR|CLNE|DRC,1,underlyings,rfq
train,BSKR|CLNE|WOOK,1,underlyings,rfq
train,BSKR|CORL,26,underlyings,rfq
train,BSKR|CORL|CLNE,1,underlyings,rfq
train,BSKR|CORL|KYBR,3,underlyings,rfq
train,BSKR|CORL|MNDO,1,underlyings,rfq
train,BSKR|CORL|POBK,1,underlyings,rfq
train,BSKR|CORL|REBL,2,underlyings,rfq
train,BSKR|CORL|TECH,1,underlyings,rfq
train,BSKR|CORL|WOOK,2,underlyings,rfq
train,BSKR|DRC,28,underlyings,rfq
train,BSKR|DRC|KYBR,2,underlyings,rfq
train,BSKR|DRC|NABO,1,underlyings,rfq
train,BSKR|DRC|REBL,3,underlyings,rfq
train,BSKR|DRC|TECH,1,underlyings,rfq
train,BSKR|HTTX,26,underlyings,rfq
train,BSKR|HTTX|CORL,2,underlyings,rfq
train,BSKR|HTTX|DRC,2,underlyings,rfq
train,BSKR|HTTX|JEDI,2,underlyings,rfq
train,BSKR|HTTX|KYBR,1,underlyings,rfq
train,BSKR|HTTX|MNDO,2,underlyings,rfq
train,BSKR|HTTX|NABO,2,underlyings,rfq
train,BSKR|HTTX|POBK,1,underlyings,rfq
train,BSKR|HTTX|REBL,1,underlyings,rfq
train,BSKR|HTTX|TECH,2,underlyings,rfq
train,BSKR|JEDI,31,underlyings,rfq
train,BSKR|JEDI|CORL,1,underlyings,rfq
train,BSKR|JEDI|DRC,2,underlyings,rfq
train,BSKR|JEDI|MNDO,2,underlyings,rfq
train,BSKR|JEDI|REBL,2,underlyings,rfq
train,BSKR|JEDI|SITH,1,underlyings,rfq
train,BSKR|JEDI|TECH,1,underlyings,rfq
train,BSKR|KYBR,29,underlyings,rfq
train,BSKR|KYBR|CLNE,1,underlyings,rfq
train,BSKR|KYBR|CORL,3,underlyings,rfq
train,BSKR|KYBR|DRC,2,underlyings,rfq
train,BSKR|KYBR|HTTX,2,underlyings,rfq
train,BSKR|KYBR|JEDI,2,underlyings,rfq
train,BSKR|KYBR|NABO,1,underlyings,rfq
train,BSKR|KYBR|SITH,1,underlyings,rfq
train,BSKR|KYBR|WOOK,1,underlyings,rfq
train,BSKR|MNDO,31,underlyings,rfq
train,BSKR|MNDO|DRC,1,underlyings,rfq
train,BSKR|MNDO|HTTX,1,underlyings,rfq
train,BSKR|MNDO|JEDI,1,underlyings,rfq
train,BSKR|MNDO|KYBR,1,underlyings,rfq
train,BSKR|MNDO|TECH,1,underlyings,rfq
train,BSKR|NABO,34,underlyings,rfq
train,BSKR|NABO|CLNE,3,underlyings,rfq
train,BSKR|NABO|JEDI,4,underlyings,rfq
train,BSKR|NABO|POBK,2,underlyings,rfq
train,BSKR|NABO|SITH,2,underlyings,rfq
train,BSKR|POBK,21,underlyings,rfq
train,BSKR|POBK|CLNE,1,underlyings,rfq
train,BSKR|POBK|CORL,1,underlyings,rfq
train,BSKR|POBK|NABO,1,underlyings,rfq
train,BSKR|POBK|WOOK,3,underlyings,rfq
train,BSKR|REBL,27,underlyings,rfq
train,BSKR|REBL|DRC,3,underlyings,rfq
train,BSKR|REBL|JEDI,2,underlyings,rfq
train,BSKR|REBL|KYBR,2,underlyings,rfq
train,BSKR|REBL|NABO,1,underlyings,rfq
train,BSKR|REBL|WOOK,1,underlyings,rfq
train,BSKR|SITH,22,underlyings,rfq
train,BSKR|SITH|CLNE,1,underlyings,rfq
train,BSKR|SITH|DRC,3,underlyings,rfq
train,BSKR|SITH|HTTX,1,underlyings,rfq
train,BSKR|SITH|JEDI,4,underlyings,rfq
train,BSKR|SITH|NABO,1,underlyings,rfq
train,BSKR|SITH|POBK,1,underlyings,rfq
train,BSKR|SITH|REBL,1,underlyings,rfq
train,BSKR|SITH|TECH,1,underlyings,rfq
train,BSKR|SITH|WOOK,1,underlyings,rfq
train,BSKR|TECH,27,underlyings,rfq
train,BSKR|TECH|CLNE,1,underlyings,rfq
train,BSKR|TECH|DRC,1,underlyings,rfq
train,BSKR|TECH|HTTX,2,underlyings,rfq
train,BSKR|TECH|JEDI,2,underlyings,rfq
train,BSKR|TECH|NABO,1,underlyings,rfq
train,BSKR|TECH|REBL,1,underlyings,rfq
train,BSKR|TECH|SITH,2,underlyings,rfq
train,BSKR|TECH|WOOK,1,underlyings,rfq
train,BSKR|WOOK,22,underlyings,rfq
train,BSKR|WOOK|CORL,2,underlyings,rfq
train,BSKR|WOOK|SITH,2,underlyings,rfq
train,BSKR|WOOK|TECH,1,underlyings,rfq
train,CLNE,257,underlyings,rfq
train,CLNE|BSKR,25,underlyings,rfq
train,CLNE|BSKR|HTTX,2,underlyings,rfq
train,CLNE|BSKR|POBK,1,underlyings,rfq
train,CLNE|BSKR|TECH,1,underlyings,rfq
train,CLNE|BSKR|WOOK,1,underlyings,rfq
train,CLNE|CORL,31,underlyings,rfq
train,CLNE|CORL|BSKR,3,underlyings,rfq
train,CLNE|CORL|DRC,1,underlyings,rfq
train,CLNE|CORL|HTTX,3,underlyings,rfq
train,CLNE|CORL|KYBR,1,underlyings,rfq
train,CLNE|CORL|MNDO,1,underlyings,rfq
train,CLNE|CORL|POBK,1,underlyings,rfq
train,CLNE|CORL|SITH,1,underlyings,rfq
train,CLNE|CORL|TECH,1,underlyings,rfq
train,CLNE|CORL|WOOK,1,underlyings,rfq
train,CLNE|DRC,31,underlyings,rfq
train,CLNE|DRC|BSKR,1,underlyings,rfq
train,CLNE|DRC|CORL,3,underlyings,rfq
train,CLNE|DRC|HTTX,3,underlyings,rfq
train,CLNE|DRC|JEDI,1,underlyings,rfq
train,CLNE|DRC|KYBR,1,underlyings,rfq
train,CLNE|DRC|NABO,1,underlyings,rfq
train,CLNE|DRC|REBL,2,underlyings,rfq
train,CLNE|DRC|SITH,4,underlyings,rfq
train,CLNE|DRC|TECH,1,underlyings,rfq
train,CLNE|DRC|WOOK,1,underlyings,rfq
train,CLNE|HTTX,24,underlyings,rfq
train,CLNE|HTTX|BSKR,1,underlyings,rfq
train,CLNE|HTTX|CORL,1,underlyings,rfq
train,CLNE|HTTX|DRC,1,underlyings,rfq
train,CLNE|HTTX|KYBR,1,underlyings,rfq
train,CLNE|HTTX|REBL,1,underlyings,rfq
train,CLNE|HTTX|WOOK,1,underlyings,rfq
train,CLNE|JEDI,26,underlyings,rfq
train,CLNE|JEDI|BSKR,2,underlyings,rfq
train,CLNE|JEDI|DRC,1,underlyings,rfq
train,CLNE|JEDI|MNDO,2,underlyings,rfq
train,CLNE|JEDI|TECH,1,underlyings,rfq
train,CLNE|JEDI|WOOK,1,underlyings,rfq
train,CLNE|KYBR,27,underlyings,rfq
train,CLNE|KYBR|CORL,1,underlyings,rfq
train,CLNE|KYBR|HTTX,1,underlyings,rfq
train,CLNE|KYBR|MNDO,2,underlyings,rfq
train,CLNE|KYBR|NABO,1,underlyings,rfq
train,CLNE|KYBR|POBK,1,underlyings,rfq
train,CLNE|KYBR|SITH,1,underlyings,rfq
train,CLNE|KYBR|TECH,2,underlyings,rfq
train,CLNE|KYBR|WOOK,1,underlyings,rfq
train,CLNE|MNDO,32,underlyings,rfq
train,CLNE|MNDO|BSKR,1,underlyings,rfq
train,CLNE|MNDO|CORL,2,underlyings,rfq
train,CLNE|MNDO|DRC,1,underlyings,rfq
train,CLNE|MNDO|HTTX,1,underlyings,rfq
train,CLNE|MNDO|JEDI,1,underlyings,rfq
train,CLNE|MNDO|NABO,1,underlyings,rfq
train,CLNE|MNDO|TECH,1,underlyings,rfq
train,CLNE|MNDO|WOOK,2,underlyings,rfq
train,CLNE|NABO,24,underlyings,rfq
train,CLNE|NABO|CORL,2,underlyings,rfq
train,CLNE|NABO|KYBR,1,underlyings,rfq
train,CLNE|NABO|POBK,3,underlyings,rfq
train,CLNE|POBK,24,underlyings,rfq
train,CLNE|POBK|DRC,1,underlyings,rfq
train,CLNE|POBK|HTTX,1,underlyings,rfq
train,CLNE|POBK|JEDI,3,underlyings,rfq
train,CLNE|POBK|TECH,1,underlyings,rfq
train,CLNE|POBK|WOOK,1,underlyings,rfq
train,CLNE|REBL,25,underlyings,rfq
train,CLNE|REBL|DRC,1,underlyings,rfq
train,CLNE|REBL|JEDI,1,underlyings,rfq
train,CLNE|REBL|MNDO,1,underlyings,rfq
train,CLNE|REBL|POBK,3,underlyings,rfq
train,CLNE|REBL|WOOK,3,underlyings,rfq
train,CLNE|SITH,25,underlyings,rfq
train,CLNE|SITH|DRC,1,underlyings,rfq
train,CLNE|SITH|HTTX,1,underlyings,rfq
train,CLNE|SITH|JEDI,1,underlyings,rfq
train,CLNE|SITH|TECH,1,underlyings,rfq
train,CLNE|TECH,30,underlyings,rfq
train,CLNE|TECH|BSKR,1,underlyings,rfq
train,CLNE|TECH|HTTX,1,underlyings,rfq
train,CLNE|TECH|JEDI,2,underlyings,rfq
train,CLNE|TECH|MNDO,1,underlyings,rfq
train,CLNE|TECH|POBK,2,underlyings,rfq
train,CLNE|TECH|REBL,1,underlyings,rfq
train,CLNE|TECH|WOOK,1,underlyings,rfq
train,CLNE|WOOK,19,underlyings,rfq
train,CLNE|WOOK|BSKR,2,underlyings,rfq
train,CLNE|WOOK|CORL,1,underlyings,rfq
train,CLNE|WOOK|DRC,2,underlyings,rfq
train,CLNE|WOOK|JEDI,1,underlyings,rfq
train,CLNE|WOOK|MNDO,2,underlyings,rfq
train,CLNE|WOOK|NABO,1,underlyings,rfq
train,CLNE|WOOK|REBL,1,underlyings,rfq
train,CORL,226,underlyings,rfq
train,CORL|BSKR,22,underlyings,rfq
train,CORL|BSKR|CLNE,1,underlyings,rfq
train,CORL|BSKR|KYBR,1,underlyings,rfq
train,CORL|BSKR|POBK,1,underlyings,rfq
train,CORL|BSKR|SITH,1,underlyings,rfq
train,CORL|CLNE,23,underlyings,rfq
train,CORL|CLNE|HTTX,2,underlyings,rfq
train,CORL|CLNE|JEDI,1,underlyings,rfq
train,CORL|CLNE|KYBR,1,underlyings,rfq
train,CORL|CLNE|MNDO,3,underlyings,rfq
train,CORL|CLNE|NABO,1,underlyings,rfq
train,CORL|CLNE|POBK,1,underlyings,rfq
train,CORL|CLNE|REBL,1,underlyings,rfq
train,CORL|DRC,23,underlyings,rfq
train,CORL|DRC|BSKR,1,underlyings,rfq
train,CORL|DRC|CLNE,2,underlyings,rfq
train,CORL|DRC|KYBR,4,underlyings,rfq
train,CORL|DRC|MNDO,1,underlyings,rfq
train,CORL|DRC|POBK,1,underlyings,rfq
train,CORL|DRC|SITH,1,underlyings,rfq
train,CORL|HTTX,22,underlyings,rfq
train,CORL|HTTX|CLNE,1,underlyings,rfq
train,CORL|HTTX|DRC,1,underlyings,rfq
train,CORL|HTTX|JEDI,3,underlyings,rfq
train,CORL|HTTX|KYBR,1,underlyings,rfq
train,CORL|HTTX|NABO,1,underlyings,rfq
train,CORL|HTTX|POBK,5,underlyings,rfq
train,CORL|HTTX|REBL,1,underlyings,rfq
train,CORL|HTTX|SITH,2,underlyings,rfq
train,CORL|HTTX|TECH,1,underlyings,rfq
train,CORL|HTTX|WOOK,1,underlyings,rfq
train,CORL|JEDI,23,underlyings,rfq
train,CORL|JEDI|CLNE,1,underlyings,rfq
train,CORL|JEDI|DRC,1,underlyings,rfq
train,CORL|JEDI|KYBR,1,underlyings,rfq
train,CORL|JEDI|NABO,1,underlyings,rfq
train,CORL|JEDI|POBK,2,underlyings,rfq
train,CORL|JEDI|SITH,1,underlyings,rfq
train,CORL|JEDI|TECH,2,underlyings,rfq
train,CORL|KYBR,26,underlyings,rfq
train,CORL|KYBR|BSKR,1,underlyings,rfq
train,CORL|KYBR|DRC,2,underlyings,rfq
train,CORL|KYBR|HTTX,1,underlyings,rfq
train,CORL|KYBR|JEDI,1,underlyings,rfq
train,CORL|KYBR|MNDO,1,underlyings,rfq
train,CORL|KYBR|POBK,4,underlyings,rfq
train,CORL|KYBR|WOOK,1,underlyings,rfq
train,CORL|MNDO,27,underlyings,rfq
train,CORL|MNDO|BSKR,1,underlyings,rfq
train,CORL|MNDO|CLNE,1,underlyings,rfq
train,CORL|MNDO|DRC,1,underlyings,rfq
train,CORL|MNDO|JEDI,1,underlyings,rfq
train,CORL|MNDO|KYBR,2,underlyings,rfq
train,CORL|MNDO|REBL,1,underlyings,rfq
train,CORL|MNDO|TECH,1,underlyings,rfq
train,CORL|MNDO|WOOK,2,underlyings,rfq
train,CORL|NABO,24,underlyings,rfq
train,CORL|NABO|CLNE,1,underlyings,rfq
train,CORL|NABO|DRC,1,underlyings,rfq
train,CORL|NABO|JEDI,2,underlyings,rfq
train,CORL|NABO|KYBR,1,underlyings,rfq
train,CORL|NABO|MNDO,2,underlyings,rfq
train,CORL|NABO|REBL,1,underlyings,rfq
train,CORL|NABO|SITH,2,underlyings,rfq
train,CORL|NABO|WOOK,3,underlyings,rfq
train,CORL|POBK,25,underlyings,rfq
train,CORL|POBK|CLNE,1,underlyings,rfq
train,CORL|POBK|DRC,1,underlyings,rfq
train,CORL|POBK|HTTX,1,underlyings,rfq
train,CORL|POBK|KYBR,1,underlyings,rfq
train,CORL|POBK|MNDO,2,underlyings,rfq
train,CORL|POBK|NABO,2,underlyings,rfq
train,CORL|POBK|WOOK,2,underlyings,rfq
train,CORL|REBL,25,underlyings,rfq
train,CORL|REBL|HTTX,1,underlyings,rfq
train,CORL|REBL|JEDI,1,underlyings,rfq
train,CORL|REBL|NABO,1,underlyings,rfq
train,CORL|REBL|SITH,1,underlyings,rfq
train,CORL|REBL|TECH,1,underlyings,rfq
train,CORL|REBL|WOOK,1,underlyings,rfq
train,CORL|SITH,35,underlyings,rfq
train,CORL|SITH|BSKR,2,underlyings,rfq
train,CORL|SITH|CLNE,1,underlyings,rfq
train,CORL|SITH|DRC,2,underlyings,rfq
train,CORL|SITH|HTTX,1,underlyings,rfq
train,CORL|SITH|POBK,1,underlyings,rfq
train,CORL|SITH|REBL,3,underlyings,rfq
train,CORL|SITH|WOOK,1,underlyings,rfq
train,CORL|TECH,19,underlyings,rfq
train,CORL|TECH|CLNE,1,underlyings,rfq
train,CORL|TECH|HTTX,4,underlyings,rfq
train,CORL|TECH|KYBR,1,underlyings,rfq
train,CORL|TECH|MNDO,1,underlyings,rfq
train,CORL|TECH|NABO,1,underlyings,rfq
train,CORL|TECH|POBK,1,underlyings,rfq
train,CORL|TECH|REBL,2,underlyings,rfq
train,CORL|WOOK,26,underlyings,rfq
train,CORL|WOOK|CLNE,1,underlyings,rfq
train,CORL|WOOK|DRC,1,underlyings,rfq
train,CORL|WOOK|KYBR,1,underlyings,rfq
train,CORL|WOOK|MNDO,2,underlyings,rfq
train,CORL|WOOK|SITH,1,underlyings,rfq
train,CORL|WOOK|TECH,2,underlyings,rfq
train,DRC,225,underlyings,rfq
train,DRC|BSKR,18,underlyings,rfq
train,DRC|BSKR|CLNE,2,underlyings,rfq
train,DRC|BSKR|CORL,1,underlyings,rfq
train,DRC|BSKR|HTTX,3,underlyings,rfq
train,DRC|BSKR|KYBR,1,underlyings,rfq
train,DRC|BSKR|NABO,1,underlyings,rfq
train,DRC|BSKR|POBK,1,underlyings,rfq
train,DRC|BSKR|REBL,2,underlyings,rfq
train,DRC|BSKR|SITH,1,underlyings,rfq
train,DRC|BSKR|TECH,2,underlyings,rfq
train,DRC|BSKR|WOOK,1,underlyings,rfq
train,DRC|CLNE,33,underlyings,rfq
train,DRC|CLNE|BSKR,2,underlyings,rfq
train,DRC|CLNE|CORL,1,underlyings,rfq
train,DRC|CLNE|JEDI,2,underlyings,rfq
train,DRC|CLNE|KYBR,1,underlyings,rfq
train,DRC|CLNE|MNDO,2,underlyings,rfq
train,DRC|CLNE|NABO,2,underlyings,rfq
train,DRC|CLNE|POBK,3,underlyings,rfq
train,DRC|CLNE|REBL,1,underlyings,rfq
train,DRC|CLNE|TECH,1,underlyings,rfq
train,DRC|CORL,23,underlyings,rfq
train,DRC|CORL|BSKR,1,underlyings,rfq
train,DRC|CORL|CLNE,1,underlyings,rfq
train,DRC|CORL|JEDI,2,underlyings,rfq
train,DRC|CORL|KYBR,1,underlyings,rfq
train,DRC|CORL|NABO,2,underlyings,rfq
train,DRC|CORL|POBK,2,underlyings,rfq
train,DRC|CORL|WOOK,1,underlyings,rfq
train,DRC|HTTX,27,underlyings,rfq
train,DRC|HTTX|BSKR,1,underlyings,rfq
train,DRC|HTTX|CLNE,1,underlyings,rfq
train,DRC|HTTX|JEDI,1,underlyings,rfq
train,DRC|HTTX|REBL,2,underlyings,rfq
train,DRC|HTTX|WOOK,1,underlyings,rfq
train,DRC|JEDI,29,underlyings,rfq
train,DRC|JEDI|BSKR,1,underlyings,rfq
train,DRC|JEDI|CLNE,1,underlyings,rfq
train,DRC|JEDI|HTTX,1,underlyings,rfq
train,DRC|JEDI|KYBR,1,underlyings,rfq
train,DRC|JEDI|POBK,2,underlyings,rfq
train,DRC|JEDI|REBL,1,underlyings,rfq
train,DRC|JEDI|TECH,1,underlyings,rfq
train,DRC|JEDI|WOOK,1,underlyings,rfq
train,DRC|KYBR,24,underlyings,rfq
train,DRC|KYBR|BSKR,1,underlyings,rfq
train,DRC|KYBR|CLNE,2,underlyings,rfq
train,DRC|KYBR|MNDO,2,underlyings,rfq
train,DRC|KYBR|NABO,1,underlyings,rfq
train,DRC|KYBR|WOOK,1,underlyings,rfq
train,DRC|MNDO,30,underlyings,rfq
train,DRC|MNDO|BSKR,1,underlyings,rfq
train,DRC|MNDO|CLNE,1,underlyings,rfq
train,DRC|MNDO|CORL,1,underlyings,rfq
train,DRC|MNDO|HTTX,1,underlyings,rfq
train,DRC|MNDO|JEDI,1,underlyings,rfq
train,DRC|MNDO|KYBR,1,underlyings,rfq
train,DRC|MNDO|NABO,1,underlyings,rfq
train,DRC|MNDO|REBL,1,underlyings,rfq
train,DRC|MNDO|TECH,4,underlyings,rfq
train,DRC|NABO,21,underlyings,rfq
train,DRC|NABO|BSKR,1,underlyings,rfq
train,DRC|NABO|CORL,1,underlyings,rfq
train,DRC|NABO|HTTX,1,underlyings,rfq
train,DRC|NABO|JEDI,1,underlyings,rfq
train,DRC|NABO|KYBR,1,underlyings,rfq
train,DRC|NABO|MNDO,2,underlyings,rfq
train,DRC|NABO|POBK,1,underlyings,rfq
train,DRC|NABO|SITH,1,underlyings,rfq
train,DRC|NABO|TECH,1,underlyings,rfq
train,DRC|POBK,22,underlyings,rfq
train,DRC|POBK|BSKR,1,underlyings,rfq
train,DRC|POBK|CLNE,1,underlyings,rfq
train,DRC|POBK|CORL,1,underlyings,rfq
train,DRC|POBK|JEDI,2,underlyings,rfq
train,DRC|POBK|KYBR,2,underlyings,rfq
train,DRC|POBK|MNDO,1,underlyings,rfq
train,DRC|POBK|TECH,1,underlyings,rfq
train,DRC|REBL,32,underlyings,rfq
train,DRC|REBL|BSKR,1,underlyings,rfq
train,DRC|REBL|JEDI,4,underlyings,rfq
train,DRC|REBL|KYBR,2,underlyings,rfq
train,DRC|REBL|TECH,1,underlyings,rfq
train,DRC|SITH,26,underlyings,rfq
train,DRC|SITH|HTTX,1,underlyings,rfq
train,DRC|SITH|JEDI,1,underlyings,rfq
train,DRC|SITH|NABO,2,underlyings,rfq
train,DRC|SITH|WOOK,1,underlyings,rfq
train,DRC|TECH,28,underlyings,rfq
train,DRC|TECH|BSKR,3,underlyings,rfq
train,DRC|TECH|CORL,1,underlyings,rfq
train,DRC|TECH|HTTX,2,underlyings,rfq
train,DRC|TECH|JEDI,2,underlyings,rfq
train,DRC|TECH|KYBR,1,underlyings,rfq
train,DRC|TECH|NABO,1,underlyings,rfq
train,DRC|TECH|POBK,2,underlyings,rfq
train,DRC|TECH|SITH,1,underlyings,rfq
train,DRC|TECH|WOOK,1,underlyings,rfq
train,DRC|WOOK,29,underlyings,rfq
train,DRC|WOOK|BSKR,6,underlyings,rfq
train,DRC|WOOK|KYBR,3,underlyings,rfq
train,DRC|WOOK|POBK,1,underlyings,rfq
train,DRC|WOOK|SITH,1,underlyings,rfq
train,DRC|WOOK|TECH,1,underlyings,rfq
train,HTTX,227,underlyings,rfq
train,HTTX|BSKR,28,underlyings,rfq
train,HTTX|BSKR|DRC,1,underlyings,rfq
train,HTTX|BSKR|JEDI,3,underlyings,rfq
train,HTTX|BSKR|KYBR,1,underlyings,rfq
train,HTTX|BSKR|NABO,1,underlyings,rfq
train,HTTX|BSKR|REBL,3,underlyings,rfq
train,HTTX|BSKR|SITH,3,underlyings,rfq
train,HTTX|BSKR|WOOK,1,underlyings,rfq
train,HTTX|CLNE,22,underlyings,rfq
train,HTTX|CLNE|CORL,1,underlyings,rfq
train,HTTX|CLNE|DRC,1,underlyings,rfq
train,HTTX|CLNE|JEDI,2,underlyings,rfq
train,HTTX|CLNE|MNDO,1,underlyings,rfq
train,HTTX|CLNE|SITH,1,underlyings,rfq
train,HTTX|CLNE|TECH,1,underlyings,rfq
train,HTTX|CORL,15,underlyings,rfq
train,HTTX|CORL|BSKR,1,underlyings,rfq
train,HTTX|CORL|JEDI,1,underlyings,rfq
train,HTTX|CORL|POBK,1,underlyings,rfq
train,HTTX|CORL|SITH,3,underlyings,rfq
train,HTTX|CORL|WOOK,3,underlyings,rfq
train,HTTX|DRC,21,underlyings,rfq
train,HTTX|DRC|BSKR,2,underlyings,rfq
train,HTTX|DRC|JEDI,1,underlyings,rfq
train,HTTX|DRC|REBL,2,underlyings,rfq
train,HTTX|DRC|TECH,1,underlyings,rfq
train,HTTX|DRC|WOOK,1,underlyings,rfq
train,HTTX|JEDI,23,underlyings,rfq
train,HTTX|JEDI|DRC,1,underlyings,rfq
train,HTTX|JEDI|KYBR,2,underlyings,rfq
train,HTTX|JEDI|MNDO,1,underlyings,rfq
train,HTTX|JEDI|POBK,1,underlyings,rfq
train,HTTX|JEDI|SITH,1,underlyings,rfq
train,HTTX|KYBR,17,underlyings,rfq
train,HTTX|KYBR|CORL,3,underlyings,rfq
train,HTTX|KYBR|JEDI,1,underlyings,rfq
train,HTTX|KYBR|NABO,1,underlyings,rfq
train,HTTX|KYBR|POBK,2,underlyings,rfq
train,HTTX|KYBR|SITH,1,underlyings,rfq
train,HTTX|MNDO,23,underlyings,rfq
train,HTTX|MNDO|CLNE,1,underlyings,rfq
train,HTTX|MNDO|DRC,1,underlyings,rfq
train,HTTX|MNDO|JEDI,1,underlyings,rfq
train,HTTX|MNDO|KYBR,1,underlyings,rfq
train,HTTX|MNDO|POBK,1,underlyings,rfq
train,HTTX|MNDO|REBL,1,underlyings,rfq
train,HTTX|MNDO|WOOK,2,underlyings,rfq
