feature,feature_type,feature_group,business_signal,in_global_52_all_without_noise,in_single_27_compact_core,in_worst_of_46_core,presence_pattern,global_train_rows,single_train_rows,worst_of_train_rows,highest_train_signal_scope,signal_metric,global_train_signal,single_train_signal,worst_of_train_signal,global_validation_signal,single_validation_signal,worst_of_validation_signal
nominal_maturity_months,numeric,contractual,estructura contractual y calendario de autocall,True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.5125397080416637,0.26586535125103505,0.6753207285368592,0.49385388810597086,0.32623712234903124,0.6556276005176104
basket_realized_vol_21d_mean,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.10544292228731852,0.6699739348985286,0.15297356751842528,0.17531478548669815,0.6823476143505348,0.09229218593999093
basket_realized_vol_126d_mean,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.10860179416207734,0.6447277006830877,0.14456552634685682,0.18499797597065998,0.7242638868933304,0.09908194727650727
structural_base_vol_max,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.09504405698417047,0.5392759030940093,0.25707259986862,0.06821851543388673,0.5170334377765058,0.2598304586852155
structural_base_vol_min,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.24224259606840443,0.5392759030940093,0.07559295887338012,0.22570746943494724,0.5170334377765058,0.0886487575179665
worst_of_vol_pressure,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.40336474922214055,,0.2547395341462363,0.3787862570570973,,0.25416026481388015
structural_base_vol_range,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.37492929044373235,,0.19384552730951216,0.35225869620944855,,0.19482809476737825
autocall_barrier_pct,numeric,contractual,estructura contractual y calendario de autocall,True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.022699555835761925,0.22052787998985734,0.3632492091546086,0.037557016368758356,0.19409234543924697,0.3700749669178106
basket_complexity_score,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.3513603793638262,,0.09685066804749864,0.32513348213091364,,0.09632961214225749
basket_size,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.3513603793638262,,0.09685066804749864,0.32513348213091364,,0.09632961214225749
sector_concentration,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.3513603793638262,,0.09685066804749864,0.32513348213091364,,0.09632961214225749
sector_count,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.3513603793638262,,0.09685066804749864,0.32513348213091364,,0.09632961214225749
structural_vol_dispersion_ratio,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.3395410480486598,,0.10947350888400682,0.3179486478419561,,0.11278383908084115
barrier_gap_pct,numeric,contractual,estructura contractual y calendario de autocall,True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.21881677098158805,0.19815108473588175,0.33666490824824724,0.1896079127732419,0.15062862379629902,0.30968840721758967
protection_barrier_pct,numeric,contractual,estructura contractual y calendario de autocall,True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.3108177141055571,0.0009650148864882573,0.04895871111258218,0.2584136424537767,0.08215677388739451,0.0029393859366223596
observation_interval_months,numeric,contractual,estructura contractual y calendario de autocall,True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.22021637873928096,0.24786521308088247,0.23752494531016738,0.24246179765062653,0.3016303586814128,0.24431824424807908
basket_realized_vol_zscore_mean,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.025912632587623722,0.18757126769178195,0.039428000228928846,0.005838699050101901,0.03313656839689297,0.023905605186269108
no_call_period_months,numeric,contractual,estructura contractual y calendario de autocall,True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.08659570098303557,,0.1665103104635191,0.06416398383191801,,0.1728859033538005
basket_realized_vol_trend_mean,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,True,True,global_52_all_without_noise+single_27_compact_core+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.011839611011000069,0.12527373566559363,0.03152664172216584,0.016097476313686496,0.0353737935851455,0.010678529017341228
basket_signature,categorical,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,category_median_spread_over_target_std,3.1055267565635325,2.7335922225952323,2.4056459462721502,2.0221210255408657,2.461558082783188,
highest_realized_vol_underlying,categorical,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,category_median_spread_over_target_std,1.3400700366022162,2.7335922225952323,1.4109803628324504,1.1908329368569788,2.461558082783188,1.4058878764625031
highest_structural_vol_underlying,categorical,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,category_median_spread_over_target_std,1.828006919538893,2.7335922225952323,1.5912426618647626,1.7555339363087212,2.461558082783188,1.426795834749492
lowest_realized_vol_underlying,categorical,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,category_median_spread_over_target_std,1.5864181052283972,2.7335922225952323,0.8432985974458596,1.5596503794381456,2.461558082783188,0.7411986091629409
lowest_structural_vol_underlying,categorical,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,category_median_spread_over_target_std,1.602282286280681,2.7335922225952323,1.3342966474611215,1.5668366401044034,2.461558082783188,0.9323570849297004
second_highest_structural_vol_underlying,categorical,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,category_median_spread_over_target_std,1.6396764273324933,,1.4925540542564437,1.1175794410331896,,1.0265577761128393
nominal_maturity_bucket,categorical,product,tipo de producto/madurez nominal como regimen,True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,worst_of,category_median_spread_over_target_std,1.2759334189194107,0.7487250631508111,1.6285842971760185,1.2063645324905037,0.829361367109915,1.6370242065362532
second_highest_realized_vol_underlying,categorical,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,category_median_spread_over_target_std,1.109586149028319,,0.9259836470636401,0.8982825832822258,,0.574394458433773
realized_vol_63d_mean,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.10905735894341229,0.692432999374365,0.15717475550970222,0.1746908823207377,0.6963287547604915,0.10049110054385778
basket_realized_vol_21d_max,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.0040866327179555325,0.6699739348985286,0.17387227027705968,0.07106953700054312,0.6823476143505348,0.10413800788993646
basket_realized_vol_126d_max,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.010465006007553658,0.6447277006830877,0.16989467580123677,0.07407048787035347,0.7242638868933304,0.1186056614161955
basket_type,categorical,product,tipo de producto/madurez nominal como regimen,True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,category_median_spread_over_target_std,0.6357003978808078,,,0.5922869678157643,,
structural_base_vol_mean,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.04858656368062599,0.5392759030940093,0.22617418745602214,0.053616746654158574,0.5170334377765058,0.22511181912383463
quoted_implied_vol,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.04688373408023709,0.5162810318345655,0.21825124894181516,0.06982373851106549,0.4969118865249755,0.19263661339862564
worst_of_pressure,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.44296191779166627,,0.3451124824775466,0.4193469261685725,,0.34954426843500375
underlying_HTTX,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.1717459980040885,0.38228979639359356,0.30502129425993724,0.14574657530111793,0.41289884434329965,0.3202309271883466
worst_of_structural_base_vol_range,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.37492929044373235,,0.19384552730951216,0.35225869620944855,,0.19482809476737825
worst_of_realized_vol_63d_range,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.3606265488456023,,0.1634454758339306,0.3117711804902764,,0.09875537754003837
realized_vol_63d_range,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.3606265488456023,,0.1634454758339306,0.3117711804902764,,0.09875537754003837
realized_to_structural_vol_ratio,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.05499105918224609,0.35969024173898,0.041830733535499605,0.09704716715203107,0.2867910860655111,0.06023295780089265
structural_base_vol_top2_spread,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.35640352537446923,,0.15377060990980443,0.34345792277185117,,0.1762335303867161
worst_of_structural_vol_top2_spread,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.35640352537446923,,0.15377060990980443,0.34345792277185117,,0.1762335303867161
has_multiple_sectors,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.35237911432855334,,,0.3242862791340134,,
realized_vol_63d_top2_spread,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.3458848098461293,,0.13162649217512482,0.3024699640025711,,0.07838856722781129
worst_of_realized_vol_top2_spread,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.3458848098461293,,0.13162649217512482,0.3024699640025711,,0.07838856722781129
no_call_fraction_of_maturity,numeric,contractual,estructura contractual y calendario de autocall,True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.00425182625959308,,0.34312153203018786,0.021652493236263757,,0.36035207947396725
realized_vol_dispersion_ratio,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.3421163800680213,,0.1195192006379821,0.3056970632837354,,0.08330076894646155
underlying_REBL,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.15916806781231177,0.34070641162450077,0.2014750958207248,0.17705084602460608,0.3827271151135334,0.1942808067691114
underlying_JEDI,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.1239008792715472,0.3137205082729414,0.0020187529999656107,0.08694595513562695,0.25892940737493975,0.02915013577968438
underlying_NABO,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.10706785826196215,0.29027734926478943,0.021033055414521013,0.12885998719824338,0.3139015903325327,0.005432384110203291
underlying_CLNE,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.11152230731111935,0.26634646910675,0.00889863959039671,0.1192009188300919,0.26323311742288946,0.021703653713529777
underlying_POBK,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.03618685667183645,0.20036881155695838,0.053134055084678056,0.005744799073013346,0.20341309009818842,0.0442465890632996
basket_realized_vol_zscore_max,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.03494485018885293,0.18757126769178195,0.04089164580121605,0.055261579672265235,0.03313656839689297,0.011398108385022362
structural_base_vol_second_highest,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.13959761390807582,,0.13959761390807582,0.14126432679076997,,0.14126432679076997
basket_realized_vol_trend_max,numeric,market,volatilidad implicita/realizada y spreads de mercado,True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.04659416403061965,0.12527373566559363,0.042676148305202305,0.07537360746646884,0.0353737935851455,0.02902082326817121
underlying_KYBR,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.05003158099362398,0.12011574146061436,0.025712581950727554,0.11000368819480055,0.1606429829614158,0.036722403323237444
pair_HTTX_TECH,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.11064221874397863,,0.11199563976759405,0.11869105349562187,,0.12030283727985312
realized_vol_63d_second_highest,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.10302958798253814,,0.10302958798253814,0.0749524534325693,,0.0749524534325693
pair_BSKR_HTTX,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.10208891095976995,,0.10092846168304445,0.13241337053301044,,0.14082631158358783
pair_HTTX_WOOK,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.1013564666348836,,0.0972088216902642,0.09034844386022627,,0.08433900011271818
pair_HTTX_POBK,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.10067591729850497,,0.10013169007754162,0.11058719836791148,,0.11434170052808065
estimated_observation_count,numeric,contractual,estructura contractual y calendario de autocall,True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.02795197809707695,0.09958591209249368,0.07950070571261307,0.008369147896941938,0.1386654453836146,0.05789108696168805
post_no_call_observation_count,numeric,contractual,estructura contractual y calendario de autocall,True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.03141490589214327,0.09958591209249368,0.09527530465337886,0.004056703595721985,0.1386654453836146,0.07573103365184042
pair_CLNE_HTTX,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.09743319860304808,,0.0993906177923834,0.08874361984527047,,0.08090024237701143
pair_HTTX_JEDI,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.09811126975977293,,0.09581678378266845,0.10819795734528903,,0.1211602649809461
pair_CORL_HTTX,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.0971713704224369,,0.09562383854116695,0.0986656083883388,,0.09096845114071386
pair_HTTX_NABO,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.0932596201149929,,0.09152638098941016,0.08039479763415855,,0.07804001006708056
pair_DRC_HTTX,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.08999825248675317,,0.08687503095877142,0.10142391025530918,,0.10840975175888502
underlying_MNDO,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.012458791781186418,0.08984962920958589,0.010220875778126188,0.0333270152040602,0.08646493869651402,0.010616455554583334
pair_NABO_REBL,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.04538556313227816,,0.08895143151254864,0.029193826003268118,,0.07301326446732372
pair_HTTX_SITH,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.08763918517236895,,0.08356554892145143,0.06183934315718243,,0.05333788447410047
pair_HTTX_REBL,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.08706303060484258,,0.0810047472368523,0.09921772536119838,,0.0910751620749107
pair_KYBR_REBL,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.044506489728162964,,0.0856406327577634,0.001957002207233641,,0.033144302701316554
pair_HTTX_MNDO,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.08404381165272472,,0.07769906728472137,0.09589632028329562,,0.09265837990759712
is_daily_observation,numeric,contractual,estructura contractual y calendario de autocall,True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.06225066366432826,0.0831708156283358,0.07082029835880746,0.06886544824290435,0.08800726975852154,0.0721239890090221
pair_HTTX_KYBR,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.08045866481042917,,0.0735503209289959,0.107061640897562,,0.11290696186125364
pair_REBL_TECH,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.032672957008206036,,0.07753614760387859,0.011004785051018566,,0.05372820309945809
underlying_CORL,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.07457224255088366,0.05478257357062516,0.026491863531171046,0.08295087545318815,0.08042695135991476,0.03261242005861993
underlying_TECH,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,single,abs_spearman,0.016938569169457067,0.0707866272880938,0.0065594477088991845,0.026602044110767026,0.03585222856613288,0.007709702147599991
pair_BSKR_REBL,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.024613694160280697,,0.06882241070329224,0.03153698887063331,,0.07679876058126288
pair_JEDI_REBL,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.023848272358665226,,0.06785839334566057,0.01353535949288923,,0.0422244223388213
pair_CORL_POBK,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.061941793541171984,,0.04306982437702047,0.07330207090150996,,0.06655097807397337
pair_CLNE_REBL,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.019741840130036867,,0.05662358663595541,0.028676820141841877,,0.06788962167805429
pair_BSKR_POBK,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.05514561602777869,,0.03665245279762709,0.03415934605749323,,0.009314832105800294
underlying_WOOK,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.05332801075543604,0.038344087059648466,0.007840629733531545,0.02659002514045481,0.131818847441954,0.05947842281821659
pair_MNDO_REBL,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.015495197345415082,,0.05277870119852017,0.018198326890069647,,0.060512057046911094
pair_CLNE_CORL,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.05259361469189322,,0.032115577468847765,0.008449749986407294,,0.017088608308913275
pair_CORL_REBL,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,worst_of,abs_spearman,0.01212880152510876,,0.05165767502465371,0.008214285473281234,,0.023634045825936627
pair_CLNE_POBK,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.0485409931765686,,0.029600691454835716,0.07163789938630268,,0.06172521596465462
pair_JEDI_SITH,numeric,basket,"composicion, complejidad y riesgo estructural de cesta",True,False,True,global_52_all_without_noise+worst_of_46_core,9807,3299,6508,global,abs_spearman,0.04807282318726482,,0.026003929842555444,0.04539451036388989,,0.03056682095197644
